[2023-01-15T15:24:16.935] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T15:27:38.798] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T15:27:41.966] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T15:27:42.686] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T15:27:45.115] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T15:28:34.775] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T15:28:44.660] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T15:28:48.478] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T15:29:15.424] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T16:53:04.827] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T16:53:11.816] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T16:53:15.988] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T16:53:18.397] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T16:53:22.720] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T16:54:45.628] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T16:54:49.330] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T16:58:41.983] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:05:13.085] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:05:17.952] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:05:23.855] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:05:28.090] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T17:05:28.814] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:10:27.592] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:10:30.902] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:10:47.190] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:11:00.484] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:11:13.490] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:14:29.108] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:14:34.496] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:14:38.331] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:14:44.022] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:14:46.565] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T17:14:47.282] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:14:50.634] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:14:55.483] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T17:14:56.200] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:14:58.447] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:15:04.004] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:15:08.879] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:42:38.886] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:42:44.277] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:42:47.666] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T17:42:48.396] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:43:47.412] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:43:50.039] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T17:43:50.753] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:43:58.467] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:48:31.908] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:48:35.001] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:57:49.510] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:57:54.663] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:58:01.875] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:58:08.685] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:58:13.165] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:58:21.700] [WARN] default - request fallida: GET, a la URL: /carrito/styles/normalize.css
[2023-01-15T17:58:22.465] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T17:58:26.441] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:04:52.152] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:04:55.473] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:05:08.024] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:05:12.497] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:05:15.031] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T18:05:15.764] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:05:18.359] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:09:51.961] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:09:53.539] [WARN] default - request fallida: GET, a la URL: /usuario
[2023-01-15T18:09:54.310] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:10:02.721] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:12:10.221] [WARN] default - request fallida: GET, a la URL: /usuario
[2023-01-15T18:12:11.096] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:12:14.954] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:13:20.135] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:13:22.072] [WARN] default - request fallida: GET, a la URL: /usuario
[2023-01-15T18:13:22.882] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:18:31.894] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:18:36.968] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:18:40.883] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:19:14.737] [WARN] default - request fallida: GET, a la URL: /styles/sobreMi.css
[2023-01-15T18:19:15.465] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:23:18.525] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:23:37.927] [WARN] default - request fallida: GET, a la URL: /favicon.ico
[2023-01-15T18:23:42.787] [WARN] default - request fallida: GET, a la URL: /favicon.ico
